Part Number,Mfg Name,VID,Vendor Part Num,Description,Customer Ref,Part Value,Qty-1,Qty-5,Qty-25,Part References,Value
ERJ-2GE0R00X,Panasonic,DK,P0.0JCT-ND,RES SMD 0.0 OHM JUMPER 1/10W 0402,res074,0,6,30,150,"R38, R38-2, R54, R54-2, R67, R83X",0
ERJ-2GE0R00X,Panasonic,DK,P0.0JCT-ND,RES SMD 0.0 OHM JUMPER 1/10W 0402,res074,0,29,145,725,"R1X, R2X, R5, R8, R15, R23, R27, R30, R32, R35, R55, R55-2, R60, R60-2, R61, R61-2, R64, R64-2, R84, R92, R93, R94, R95, R96X, R105X, R108, R118X, R119X, R197",0
ERJ-2GE0R00X,Panasonic,DK,P0.0JCT-ND,RES SMD 0.0 OHM JUMPER 1/10W 0402,res074,0,1,5,25,R97,0
ERJ-6GEY0R00V,Panasonic,DK,P0.0ACT-ND,RES SMD 0.0 OHM JUMPER 1/8W 0805,res104,0,5,25,125,"R97-2, R122, R122-2, R124, R124-2",0
GRM155R71C104JA88D,Murata,DK,490-6327-1-ND,CAP CER 0.1UF 16V 5% X7R 0402,capcer042,100n,41,205,1025,"C15, C20, C21, C24, C24-2, C28, C29, C30, C34, C35, C36, C47, C61, C68, C70, C77, C77-2, C78, C79, C80, C81, C81-2, C92, C98X, C105, C108, C111, C116, C117, C122, C124X, C125X, C169X, C185, C204, C213X, C215X, C216X, C220, C221, C222",0.1u
GRM155R71C104JA88D,Murata,DK,490-6327-1-ND,CAP CER 0.1UF 16V 5% X7R 0402,capcer042,100n,47,235,1175,"C28-2, C29-2, C30-2, C32, C32-2, C40, C40-2, C45, C45-2, C46, C46-2, C48, C48-2, C49, C49-2, C57, C57-2, C59, C59-2, C60, C60-2, C62, C62-2, C63, C63-2, C65, C65-2, C67, C67-2, C69, C69-2, C71, C71-2, C72, C72-2, C75, C75-2, C82, C82-2, C84, C84-2, C85, C85-2, C87, C87-2, C88, C88-2",0.1u
GRM155R71C104JA88D,Murata,DK,490-6327-1-ND,CAP CER 0.1UF 16V 5% X7R 0402,capcer042,100n,3,15,75,"C209, C223, C224",0.1u
GRM188R71C474KA88D,Murata,DK,490-3295-1-ND,CAP CER 0.47UF 16V 10% X7R 0603,capcer046,470n,2,10,50,"C16, C17",0.47u
ERJ-2RKF1301X,Panasonic,DK,P1.30KLCT-ND,RES SMD 1.3K OHM 1% 1/10W 0402,res075,1.3k,2,10,50,"R215, R216",1.3k
ERJ-2RKF1004X,Panasonic,DK,P1.00MLCT-ND,RES SMD 1M OHM 1% 1/10W 0402,res076,1M,2,10,50,"R156, R171",1M
ERJ-2RKF1001X,Panasonic,DK,P1.00KLCT-ND,RES SMD 1K OHM 1% 1/10W 0402,res077,1k,9,45,225,"R110, R111, R158, R160, R163, R184, R185, R195, R196",1k
GRM155R71H102JA01J,Murata,DK,490-6349-1-ND,CAP CER 1000PF 50V 5% X7R 0402,capcer043,1n,2,10,50,"C74, C74-2",1n
GRM155R71H102JA01J,Murata,DK,490-6349-1-ND,CAP CER 1000PF 50V 5% X7R 0402,capcer043,1n,6,30,150,"C50, C50-2, C56, C56-2, C66, C66-2",1n
GRM155R70J105KA12D,Murata,DK,490-10024-1-ND,CAP CER 1UF 6.3V 10% 0402,capcer047,1u,6,30,150,"C2, C2-2, C5, C5-2, C26X, C217X",1u
GRM155R70J105KA12D,Murata,DK,490-10024-1-ND,CAP CER 1UF 6.3V 10% 0402,capcer047,1u,14,70,350,"C42, C42-2, C52, C52-2, C53, C53-2, C54, C54-2, C64, C64-2, C83, C83-2, C86, C86-2",1u
GRM155R70J105KA12D,Murata,DK,490-10024-1-ND,CAP CER 1UF 6.3V 10% 0402,capcer047,1u,2,10,50,"C173, C177",1u
ERJ-2RKF2201X,Panasonic,DK,P2.20KLCT-ND,RES SMD 2.2K OHM 1% 1/10W 0402,res078,2.2k,3,15,75,"R21, R148, R150",2.2k
GRM155R71H222JA01J,Murata,DK,490-6359-1-ND,CAP CER 2200PF 50V 5% X7R 0402,capcer044,2.2n,6,30,150,"C187, C192, C193, C196, C199, C201",2.2n
GRM155R60J225ME15D,Murata,DK,490-4519-1-ND,CAP CER 2.2UF 6.3V 20% X5R 0402,capcer045,2.2u,1,5,25,C182,2.2u
SRN3015-2R2M,Bourns,DK,SRN3015-2R2MCT-ND,FIXED IND 2.2UH 1.8A 72 MOHM SMD,ind005,2.2u,1,5,25,L6X,2.2u
2N7002ET1G,ON Semiconductor,DK,2N7002ET1GOSCT-ND,MOSFET N-CH 60V 260MA SOT-23,mos003,2N7002,3,15,75,"Q5, Q6, Q7",2N7002ET1G
ERJ-2RKF2001X,Panasonic,DK,P2.00KLCT-ND,RES SMD 2K OHM 1% 1/10W 0402,res079,2k,2,10,50,"R213, R214",2k
SRN3015-3R3M,Bourns,DK,SRN3015-3R3MCT-ND,FIXED IND 3.3UH 1.6A 112 MOHM,ind006,3.3u,1,5,25,L7X,3.3u
ERJ-2RKF4701X,Panasonic,DK,P4.70KLCT-ND,RES SMD 4.7K OHM 1% 1/10W 0402,res080,4.7k,7,35,175,"R57, R104, R136, R154, R155, R161, R162",4.7k
ERJ-3EKF4701V,Panasonic,DK,P4.70KHCT-ND,RES SMD 4.7K OHM 1% 1/10W 0603,res027,4.7k,1,5,25,R10,4.7k
GRM188R60J475KE19D,Murata,DK,490-3297-1-ND,CAP CER 4.7UF 6.3V 10% X5R 0603,capcer048,4.7u,2,10,50,"C44, C76",4.7u
1SMA5920BT3G,ON Semiconductor,DK,1SMA5920BT3GOSCT-ND,DIODE ZENER 6.2V 1.5W SMA,diodez004,1SMA5920,2,10,50,"D2, D2-2",6.2V
ERJ-2RKF8201X,Panasonic,DK,P8.20KLCT-ND,RES SMD 8.2K OHM 1% 1/10W 0402,res081,8.2k,2,10,50,"R179, R189",8.2k
GRM155R71H822KA88D,Murata,DK,490-6365-1-ND,CAP CER 8200PF 50V 10% X7R 0402,capcer049,8.2n,1,5,25,C172,8.2n
ERJ-2RKF10R0X,Panasonic,DK,P10.0LCT-ND,RES SMD 10 OHM 1% 1/10W 0402,res082,10,8,40,200,"R223X, R224X, R225X, R226X, R227X, R228X, R229X, R230X",10
ERJ-2RKF1002X,Panasonic,DK,P10.0KLCT-ND,RES SMD 10K OHM 1% 1/10W 0402,res083,10k,2,10,50,"R29, R29-2",10k
ERJ-2RKF1002X,Panasonic,DK,P10.0KLCT-ND,RES SMD 10K OHM 1% 1/10W 0402,res083,10k,57,285,1425,"R1, R2, R3, R3X, R4, R4X, R7, R11, R13, R13-2, R14, R14-2, R15X, R19, R22, R25, R33, R33-2, R36, R42, R43, R44, R50, R50-2, R51, R51-2, R52, R52-2, R59, R59-2, R70X, R98, R99, R100, R102, R103, R109, R117, R117-2, R134, R135, R138, R143X, R144, R145, R149, R157, R169, R170, R174, R181, R183, R186, R192, R194, R210, R222X",10k
GRM155R71E103KA01D,Murata,DK,490-1312-1-ND,CAP CER 10000PF 25V 10% X7R 0402,capcer050,10n,7,35,175,"C33, C37, C58, C89, C89-2, C93, C104",10n
GRM155R71E103KA01D,Murata,DK,490-1312-1-ND,CAP CER 10000PF 25V 10% X7R 0402,capcer050,10n,12,60,300,"C38, C38-2, C41, C41-2, C43, C43-2, C51, C51-2, C55, C55-2, C73, C73-2",10n
GRM155R71E103KA01D,Murata,DK,490-1312-1-ND,CAP CER 10000PF 25V 10% X7R 0402,capcer050,10n,1,5,25,C207,10n
GRM1555C1H100FA01D,Murata,DK,490-6186-1-ND,CAP CER 10PF 50V 1% NP0 0402,capcer051,10p,4,20,100,"C90, C90-2, C91, C91-2",10p
