Part Number,Mfg Name,VID,Vendor Part Num,Description,Customer Ref,Part Value,Qty-1,Qty-5,Qty-25,Part References,Value
ERJ-2GE0R00X,Panasonic,DK,P0.0JCT-ND,RES SMD 0.0 OHM JUMPER 1/10W 0402,res074,0,4,20,100,"R133X, R139X, R140X, R142X",0
GRM188R7YA105KA12D,Murata,DK,490-10487-1-ND,CAP CER 1UF 35V 10% X7R 0603,capcer067,1u,8,40,200,"C156X, C157X, C158X, C159X, C160X, C161X, C162X, C163X",1u
ERJ-2RKF1002X,Panasonic,DK,P10.0KLCT-ND,RES SMD 10K OHM 1% 1/10W 0402,res083,10k,5,25,125,"R4X, R79X, R80X, R81X, R82X",10k
EVU-F2AF30B54,Panasonic,DK,P3C3503-ND,POT 50K OHM 1/20W LINEAR,pot010,B50K,5,25,125,"VR1X, VR2X, VR3X, VR4X, VR5",50k
GRM1555C1H101FA01J,Murata,DK,490-7753-1-ND,CAP CER 100PF 50V 1% NP0 0402,capcer060,100p,5,25,125,"C164X, C165X, C166X, C167X, C168X",100p
ERJ-2RKF2200X,Panasonic,DK,P220LCT-ND,RES SMD 220 OHM 1% 1/10W 0402,res097,220,5,25,125,"R217X, R218X, R219X, R220X, R221X",220
87024-610LF,FCI,DK,609-1550-ND,CONN RCPT 20POS DL .050 VERT SMD,con0019,87024-610LF,2,10,50,"P5, P7",87024-610LF
"*** ERROR - PART '*' NOT FOUND FOR: ""JP2", JP4, JP5," JP9""",,,,,,,,
1ZW0913611806,MEC Switches,DK,679-2608-ND,CAP TACTILE ROUND BLACK,sw0007,1ZW0913611806,1,5,25,SW1X,NAVIMEC
NHD-C12832A1Z-NSW-BBW-3V3,Newhaven Display Intl,DK,NHD-C12832A1Z-NSW-BBW-3V3-ND,LCD COG GRAPHIC 128X32,lcd001,NHD-C12832A1Z-NSW-BBW-3V3,1,5,25,LCD1,NHD-C12832A1Z-NSW-BBW-3V3
LTL-4222N,Lite-On,DK,160-1140-ND,LED 3MM HI-EFF RED TRANSPARENT,led007,RED,5,25,125,"D4X, D5X, D6X, D7X, D8X",RED
"*** ERROR - PART '*' NOT FOUND FOR: ""TP3", TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12," TP17""",,
